traffic,rain,pop,dist,is_neg,deficit
1.81,50,5000,15.37,1,14
3.83,70,5000,3.91,1,11
3.06,95,5000,22.88,0,13
2.6,47,15000,9.01,1,17
1.05,18,15000,13.87,1,10
1.05,5,25000,3.52,0,9
0.7,83,15000,9.31,1,18
3.53,26,5000,23.66,1,22
2.6,52,15000,5.4,1,17
2.98,47,5000,19.77,0,16
0.57,6,15000,27.61,1,13
3.89,58,15000,20.72,1,28
3.41,68,15000,24.52,1,26
1.24,10,5000,4.16,0,4
1.14,14,15000,8.27,0,8
1.14,63,5000,26.94,0,10
1.56,2,5000,21.74,1,12
2.34,68,25000,19.55,0,21
2.01,22,15000,20.25,1,20
1.52,52,25000,13.01,0,13
2.64,36,25000,2.29,0,14
0.99,8,5000,23.75,0,3
1.52,14,15000,20.68,0,10
1.78,2,5000,14.71,1,13
2.1,92,5000,27.09,0,16
3.25,69,15000,10.75,1,21
1.2,16,5000,9.54,1,11
2.3,25,15000,26.31,1,20
2.57,20,15000,24.11,0,15
0.66,71,5000,15.93,0,3
2.63,20,5000,4.79,1,9
1.1,10,25000,7.24,0,9
0.73,37,5000,20.03,1,12
3.82,71,15000,12.17,0,21
3.88,87,25000,25.26,0,31
3.33,34,15000,28.55,1,23
1.57,13,25000,24.36,0,13
0.84,13,5000,11.95,1,8
2.89,9,5000,23.87,1,15
2.04,11,5000,11.19,0,5
0.93,37,15000,5.85,0,9
2.23,33,25000,1.97,0,10
0.62,40,15000,12.19,1,15
3.68,9,25000,27.2,0,26
1.41,16,5000,7.93,0,6
2.82,16,15000,6.99,0,10
1.59,66,5000,29.12,0,13
2.32,61,15000,1.73,1,16
2.41,94,5000,23.79,0,13
1.15,0,15000,10.32,1,12
3.89,11,15000,2.09,0,5
3.21,3,25000,27.62,0,26
3.79,41,5000,5.05,0,4
3.63,12,25000,17.0,1,28
2.59,97,25000,8.95,1,21
3.73,84,5000,2.89,0,9
0.81,85,15000,2.45,1,18
1.19,3,25000,4.35,1,19
0.66,81,5000,3.07,0,4
1.64,68,15000,23.06,0,15
1.86,18,25000,15.08,0,14
1.45,1,25000,10.94,0,11
3.4,11,25000,13.13,0,17
1.75,80,15000,27.94,0,19
1.48,73,25000,27.41,1,25
2.4,97,15000,21.75,0,19
0.99,5,25000,26.66,0,12
3.31,7,5000,10.27,0,5
0.76,50,25000,12.05,0,13
3.95,10,5000,18.8,1,19
